,node,rank_agg,a,b,n_snp,n_dis,n_deg
10,KIF20B,0.15479991368980367,"['TCF19', 'EIF2AK2', 'WEE1', 'CENPW', 'SHMT1', 'CCDC89', 'KIF7', 'TDP1', 'MXD3', 'PHF14', 'MPHOSPH9', 'LARS', 'SMN1', 'BRCA2', 'NUP160', 'VSNL1', 'PPP3R1', 'LIMK2', 'OPTN', 'NCAPD2', 'CDCA3', 'BLMH', 'APH1A', 'RIPK1', 'ADD1']",[],0,8,996
11,LCP2,0.10363371061360485,"['TAPBPL', 'IL1RAP', 'SELPLG', 'HLA-DQA2', 'KLRG1', 'ITPKB', 'NLRP1', 'KIAA0513', 'MS4A4A', 'ARAP2', 'RNF213', 'TAGAP', 'HPSE', 'HLA-DRB4', 'UBASH3A', 'RGS14', 'CARD8', 'CELF2', 'BATF', 'EOMES', 'CD58', 'CTSH']",[],0,9,864
12,PLSCR4,0.1096465421575971,"['IL33', 'CADPS2', 'HNMT', 'LPP', 'MMRN2', 'KLHDC1', 'ANGPT1', 'PLPP3', 'BACE1', 'ABCA8', 'SPON1', 'ERG', 'SLC15A2', 'RNASE4', 'FBXL7', 'PDGFD', 'DST']",[],0,6,385
13,RHOD,0.10610287913353937,"['PLXNA4', 'MCF2L', 'ARHGAP24', 'SLC12A4', 'PLEKHG5', 'AGAP1', 'SBNO2', 'RAB3D', 'ARHGAP20', 'SLC2A4RG', 'TOM1L2', 'IGFALS', 'MC1R', 'SP6', 'WWC1', 'ARHGAP31', 'RGS2', 'MYOC', 'RAB29', 'LRRK1', 'C6orf15', 'ELAVL4']",[],1,8,1132
14,UBE2J1,0.12186215960672049,"['ZBTB38', 'SPSB4', 'SUN2', 'HERC2', 'SH3RF1', 'ATXN3', 'ASB10', 'RNF5', 'CBLL2', 'HOMER2', 'AUP1', 'FBXO7', 'DNAJC1', 'ST6GAL1', 'HACE1', 'SLC30A7']",[],0,1,857
15,RBM5,0.0966878307719774,"['ZNF224', 'XRCC3', 'TARDBP', 'ATG16L1', 'ZNF862', 'RBM45', 'IP6K2', 'TNRC6A', 'CLEC16A', 'SS18L1', 'OTUD3', 'SUGP1', 'GSDMB', 'ZCCHC8', 'CELF1', 'MANBA', 'SIK3', 'RAPGEF6']",[],1,14,839
16,PRELP,0.12668234669108064,"['ST3GAL3', 'LINGO2', 'TNMD', 'RGS12', 'LRRC37A', 'THBS3', 'CTIF', 'CLSTN2', 'PLP1', 'THSD4', 'SNCAIP', 'NKPD1']",[],0,8,583
17,CTDSP2,0.16494633301327657,"['DHCR24', 'LPIN3', 'TMEM106B', 'CRYL1', 'WASHC5', 'MCCC1', 'GALC', 'FTO', 'GSTK1', 'ACOT4', 'BORCS7', 'PITPNM2', 'DAPK1']",[],0,1,1320
18,VAMP2,0.15909634166049716,"['UNC13C', 'AGPAT1', 'SGCG', 'ASPSCR1', 'LTBP2', 'SLC18A2', 'UNC13A', 'VAPB', 'UCHL1', 'KCTD2', 'DNAJC5']",[],0,10,839
19,FOXA1,0.14319710282762754,"['TCF21', 'ANKRD1', 'CELSR1', 'APBB2', 'FARP1', 'SYT17', 'SLC44A4', 'DLX5', 'PLK2', 'SARM1', 'ZNF813', 'SPATA2']",[],0,57,768
20,CDC5L,0.137422831840203,"['NARS2', 'EIF2B4', 'HSF2', 'CHRNA5', 'PCGF3', 'GSDME', 'IREB2', 'ZC3HC1', 'PARVB', 'MYNN', 'PHGDH', 'MTPAP', 'ZFP36L1', 'NUCKS1']",[],2,6,1562
21,CYLC2,0.07910247804768786,"['TSPAN16', 'ANKRD55', 'RNLS', 'COLEC10', 'HORMAD2', 'CCDC83', 'APH1B', 'ADGB', 'PSORS1C1']",[],0,3,788
22,CCDC130,0.09672632262035756,"['LRRC56', 'NAA25', 'RABEP2', 'TMEM175', 'SAE1', 'ZNF165']",[],0,1,164
23,FZD10,0.11664499534349286,"['TNPO3', 'TMEM132C', 'TSPAN15', 'EVI5', 'LRP6', 'WNT3']",[],0,6,344
24,ACTN2,0.11789739493418351,"['ODF3B', 'COL12A1', 'KCNN2', 'CRADD', 'COL13A1', 'ADORA2A', 'MYO16', 'MICAL2', 'EYA4', 'SLC4A8']",[],16,13,790
25,SLC22A14,0.09598135003659677,"['HYI', 'C3orf67', 'PDE7B', 'ICOSLG', 'FAM181A', 'SLC2A13']",[],0,0,696
26,TEX264,0.10201016389708072,"['TYW1B', 'CLPTM1', 'BCL7C', 'NAGLU', 'NMRAL1']",[],0,0,318
27,ADH5,0.11398567845671018,"['MAOA', 'TP73', 'VAT1L', 'ADH1C', 'TIMMDC1', 'GSTM3']",[],0,28,607
28,TMPRSS4,0.10411053953359083,"['ILDR1', 'TMC5', 'SSC4D', 'LOXL3', 'TMEM39A']",[],0,31,185
29,TMCO3,0.1040911870042014,"['SUMF1', 'POTEF', 'GALNT2', 'SLC9A9']",[],0,0,143
30,PARP12,0.09814172018612627,"['PARP6', 'IFI27', 'USP18', 'EDEM2', 'NOD1']",[],2,3,295
31,HIST2H2AC,0.10035774057517004,"['LINGO1', 'SAP30L', 'KDM1B', 'CENPO', 'LACC1']",[],0,6,645
32,GABARAPL2,0.08278393129627656,"['GPHN', 'FUNDC2', 'MEFV', 'TTBK1', 'SNHG28', 'GPC6']",[],0,4,1204
33,DCK,0.07710278590381205,"['INPP5F', 'MTRR', 'CDC42SE2', 'ARL6IP6', 'OGG1', 'AK5']",[],0,46,833
34,AP3M1,0.08251906269924465,"['PALM2', 'DTNBP1', 'CDKAL1', 'SIPA1L2']",[],0,1,479
35,CPQ,0.0884870586813998,"['TFR2', 'ERAP1', 'PIP4P2', 'MMRN1']",[],0,30,245
36,ACER1,0.08413061021118169,"['PGLYRP3', 'GBA', 'DEGS2']",[],0,0,54
37,SYT16,0.08101777358585414,"['INPP4B', 'CPNE4', 'NCOA5']",[],0,0,57
38,SCN3A,0.07563345290832534,"['CALHM1', 'NKAIN3', 'SCN9A', 'KCNH7']",[],5,12,104
39,RSPRY1,0.07863567262759485,"['CDK5R1', 'C5orf30', 'ARHGEF10', 'ADAMTSL1']",[],2,48,58
40,NCR2,0.06947230586953486,"['TREML2', 'TREML1', 'HAMP', 'SLC5A4']",[],0,17,516
41,TRIB2,0.06740404696112383,"['STK36', 'KIAA1217', 'SPRED2', 'CARD16']",[],0,19,544
42,FOXH1,0.07285178818633269,"['PRSS53', 'C10orf55', 'IGF2-AS', 'PPP1R37']",[],2,21,491
43,CYP2S1,0.07087510166725798,"['CYP46A1', 'GSTO2', 'CYP2R1']",[],0,5,130
44,ANKS3,0.07083731582817052,"['ZFP90', 'USP35', 'PNPLA7']",[],0,3,223
45,LYPD3,0.07494541101860207,"['PHTF1', 'GRHL1', 'SLC41A1']",[],0,4,301
46,YIPF5,0.08613689201206952,"['OSBPL6', 'JAZF1', 'ABHD2']",[],0,3,498
47,PFN2,0.08567940707868667,"['FMN2', 'FMNL2', 'DDAH1']",[],0,11,385
48,DEFA5,0.08345031207668498,"['FABP2', 'TNFSF15', 'NKX2-3']",[],0,13,390
49,BIK,0.0780968443553064,"['PLPP4', 'TMEM229B', 'INAVA']",[],1,23,150
50,SORCS2,0.07952463570538715,"['SORCS1', 'SORCS3', 'PSRC1']",[],9,10,21
51,APBB1,0.0788267035196938,"['PSEN2', 'STH', 'TSHZ1']",[],1,11,391
52,SLIT1,0.07564489418599459,"['GREM2', 'CARMIL1', 'JAM2']",[],3,4,465
53,ULK1,0.07630809043750968,"['IRGM', 'C9orf72', 'MUL1']",[],2,25,392
54,TMEM174,0.07563530925402939,"['MCCD1', 'SLC7A13']",[],0,0,39
55,CPXM2,0.07634545525531643,"['AGBL2', 'AGBL1']",[],0,0,56
56,GABARAPL1,0.07751721367300311,"['SNCG', 'TENM3', 'GABARAPL3']",[],0,11,934
57,GJB7,0.07697206688233017,"['FAM171A2', 'PROCR']",[],0,1,59
58,FCAMR,0.07349274745507532,"['FCRL1', 'FCRL3']",[],0,1,72
59,TBC1D13,0.06991251779230702,"['CDIP1', 'TBC1D24']",[],0,0,128
60,AGTRAP,0.07274242961496723,"['RMDN2', 'TCEANC2']",[],0,1,138
61,NRARP,0.07539755657935049,"['CLMN', 'ZBTB46']",[],0,5,89
62,NOTCH2NLA,0.07455861746704695,"['FRMD4A', 'ICAM4']",[],0,0,260
63,SBSPON,0.07492412077320175,"['SEMA5B', 'SUSD2']",[],1,2,61
64,RPUSD1,0.07562795917689817,"['PUS10', 'JMJD8']",[],2,0,113
65,SERPINB13,0.08046650394651708,"['SERPINA9', 'ADD2']",[],0,4,296
66,SH3GL1,0.07790237308103269,"['TPTE2', 'CASS4', 'OSGEP']",[],15,21,584
67,ZBED1,0.06044892998264777,"['SPEF2', 'GGACT']",[],0,15,191
68,ENGASE,0.06045196856052918,"['PIGL', 'ZP3']",[],1,4,195
69,STK38L,0.060405312936902454,"['MOB3B', 'CAB39L']",[],0,1,458
70,DENND3,0.06025499655539512,"['SLC24A4', 'PLEKHM1']",[],2,2,264
71,WASF2,0.06137355551229171,"['SLC44A2', 'PXK']",[],0,15,329
72,LAPTM5,0.06609143908516112,"['WDFY4', 'PHACTR1']",[],0,4,658
73,NDUFA7,0.05769618700976414,"['PTRHD1', 'NDUFAF6']",[],2,0,573
74,HNRNPA3,0.09651876288508845,"['DLEU1', 'PABPN1L']",[],0,9,1276
75,RBL2,0.09592167696855951,"['ZNF880', 'RBBP9', 'ZNF181']",[],2,41,1605
76,TYROBP,0.0949984229261786,"['CLECL1', 'TNFSF4']",[],5,88,627
77,ITCH,0.09240758677321192,"['C8orf44-SGK3', 'GLIS3']",[],14,63,748
78,REL,0.09137463302998591,"['SLC25A27', 'NEIL2']",[],9,58,1080
79,TMC2,0.09408629190993216,['TMC3'],[],0,0,5
80,C11orf86,0.09364337310328365,['BAIAP2L2'],[],0,0,6
81,CCDC190,0.0904263642585103,['C22orf15'],[],0,0,8
82,CBLN3,0.08964701286508278,['C1QTNF6'],[],0,0,9
83,FIBCD1,0.08751637360063878,['ITLN1'],[],0,0,10
84,HDGFL1,0.0837036367376857,['ZCWPW1'],[],0,0,18
85,ZBED2,0.08035108750913768,['MTHFSD'],[],0,0,21
86,GAPT,0.0774606700453467,['SCIMP'],[],0,0,22
87,KCND1,0.07692828799753677,['TANGO2'],[],0,0,22
88,OR4C6,0.07305538970007866,['HEATR4'],[],0,0,23
89,THAP8,0.07341465448996165,['CSMD1'],[],0,0,29
90,PRDM7,0.07241877791154347,['EXOC3L2'],[],0,0,32
91,KIAA1191,0.07266397624198026,['SIMC1'],[],0,0,45
92,TSTD2,0.06995357851375933,['BMPER'],[],0,0,49
93,KRTAP10-6,0.06865001192526542,['KIAA0040'],[],0,0,69
94,C1orf210,0.06529182606504041,['SFTA3'],[],0,1,26
95,CYTH3,0.06650166295207029,['ATP11A'],[],0,0,129
96,TOMM40L,0.06188376276494903,['MPV17L2'],[],0,1,82
97,OLIG3,0.06085948232654427,['MMEL1'],[],0,3,38
98,ANO7,0.06085256507997285,['SLC45A3'],[],0,4,24
99,ZNF783,0.05604393055927377,['ZNF767P'],[],0,2,67
100,BAHCC1,0.05996812483060453,['ST18'],[],2,0,19
101,SUMF2,0.05441143971144544,['SLC50A1'],[],0,8,58
102,CLCA4,0.05583400258232162,['ANO4'],[],0,16,82
103,PMP2,0.05766435453215401,['NKAIN2'],[],1,3,187
104,HM13,0.05793120250161739,['SPPL2C'],[],0,23,115
105,RPL39,0.06310700495811683,['L3MBTL4'],[],0,8,361
106,RPL10L,0.05847954798264333,['HLA-F-AS1'],[],0,0,633
107,TRIM22,0.03400881728082534,['C5orf56'],[],0,7,531
108,PKD2L1,0.040848457175836725,['PKD1L3'],[],9,32,70
109,UCN,0.04514578682036992,['LINC02210-CRHR1'],[],5,84,79
110,FOSL1,0.054056313523474196,['PXT1'],[],3,88,520
111,EEF1G,0.05054370754611913,['EEF1DP3'],[],1,10,1303
112,DEAF1,0.05787203850088695,['INS-IGF2'],[],10,138,309
113,HNF4A,1.0622896643130395,['PART1'],[],65,212,3184
